時間,DD,MDD
2018-09-28,171318.13625963707,226825.87644471187
2018-10-01,183317.21541765056,226825.87644471187
2018-10-02,177747.64284188047,226825.87644471187
2018-10-03,186838.94515078084,226825.87644471187
2018-10-04,160406.97361221828,226825.87644471187
2018-10-05,149269.8283067872,226825.87644471187
2018-10-08,120266.0541354763,226825.87644471187
2018-10-09,79911.1510803568,226825.87644471187
2018-10-11,67674.09018581365,226825.87644471187
2018-10-12,69853.92289959393,226825.87644471187
2018-10-15,0.0,226825.87644471187
2018-10-16,47934.82854744156,226825.87644471187
2018-10-17,18999.950188821334,226825.87644471187
2018-10-18,34994.22464534169,226825.87644471187
2018-10-19,34602.26693192442,226825.87644471187
2018-10-22,29520.81514472395,226825.87644471187
2018-10-23,22627.558824095042,226825.87644471187
2018-10-24,33630.3717846562,226825.87644471187
2018-10-25,0.0,226825.87644471187
2018-10-26,0.0,226825.87644471187
2018-10-29,0.0,226825.87644471187
2018-10-30,0.0,226825.87644471187
2018-10-31,5427.242476038181,226825.87644471187
2018-11-01,7384.969220120517,226825.87644471187
2018-11-02,62581.26502744705,226825.87644471187
2018-11-05,71102.07570893834,226825.87644471187
2018-11-06,83470.34936898136,226825.87644471187
2018-11-07,80114.81772777718,226825.87644471187
2018-11-08,67144.6280816836,226825.87644471187
2018-11-09,83822.30024430944,226825.87644471187
2018-11-12,91213.26862731675,226825.87644471187
2018-11-13,68156.48684848465,226825.87644471187
2018-11-14,68396.45335464414,226825.87644471187
2018-11-15,57323.99882637238,226825.87644471187
2018-11-16,60531.55112257713,226825.87644471187
2018-11-19,67446.58593531417,226825.87644471187
2018-11-20,61573.4057023222,226825.87644471187
2018-11-21,67892.52369189546,226825.87644471187
2018-11-22,50954.88781472911,226825.87644471187
2018-11-23,50460.95675654344,226825.87644471187
2018-11-26,45099.70507002503,226825.87644471187
2018-11-27,35619.028364640806,226825.87644471187
2018-11-28,55228.29134110866,226825.87644471187
2018-11-29,57879.92123165666,226825.87644471187
2018-11-30,79014.97124223722,226825.87644471187
2018-12-03,79224.94193470772,226825.87644471187
2018-12-04,79758.86741040042,226825.87644471187
2018-12-05,129719.89394624386,226825.87644471187
2018-12-06,118855.41038997698,226825.87644471187
2018-12-07,85500.06606509777,226825.87644471187
2018-12-10,39102.54214246337,226825.87644471187
2018-12-11,54332.41638589738,226825.87644471187
2018-12-12,31667.57989990038,226825.87644471187
2018-12-13,43565.919152559916,226825.87644471187
2018-12-14,65444.86533130367,226825.87644471187
2018-12-17,73905.68438653443,226825.87644471187
2018-12-18,56988.04571812158,226825.87644471187
2018-12-19,59661.67253826119,226825.87644471187
2018-12-20,45921.59035273661,226825.87644471187
2018-12-21,58797.793117204514,226825.87644471187
2018-12-24,37062.826841783964,226825.87644471187
2018-12-25,37492.76683166045,226825.87644471187
2018-12-26,30099.798727815036,226825.87644471187
2018-12-27,7580.9418667243035,226825.87644471187
2018-12-28,0.0,226825.87644471187
2019-01-02,32509.42926925268,226825.87644471187
2019-01-03,49677.0155566865,226825.87644471187
2019-01-04,15027.887123036055,226825.87644471187
2019-01-07,2685.6224092733873,226825.87644471187
2019-01-08,0.0,226825.87644471187
2019-01-09,41551.75705315771,226825.87644471187
2019-01-10,36212.55924113318,226825.87644471187
2019-01-11,71149.31016639664,226825.87644471187
2019-01-14,67625.83955031037,226825.87644471187
2019-01-15,75366.67652782318,226825.87644471187
2019-01-16,65132.214205486605,226825.87644471187
2019-01-17,84693.27525200437,226825.87644471187
2019-01-18,76248.54403159989,226825.87644471187
2019-01-21,81315.78270389362,226825.87644471187
2019-01-22,90696.37331634242,226825.87644471187
2019-01-23,101362.77074258482,226825.87644471187
2019-01-24,102414.61270846048,226825.87644471187
2019-01-25,92764.06265616366,226825.87644471187
2019-01-28,98907.13968882896,226825.87644471187
2019-01-29,117402.3608728991,226825.87644471187
2019-01-30,126145.047327413,226825.87644471187
2019-02-11,109799.50316494817,226825.87644471187
2019-02-12,109933.48303511705,226825.87644471187
2019-02-13,124329.32013147476,226825.87644471187
2019-02-14,129934.6062849097,226825.87644471187
2019-02-15,129934.6062849097,226825.87644471187
2019-02-18,129934.6062849097,226825.87644471187
2019-02-19,129934.6062849097,226825.87644471187
